,ISBN,store_name,gender_of_owner,2010_revenue_till_june,2011_revenue_till_june,2012_revenue_till_june,2013_revenue_till_june,2014_revenue_till_june,2015_revenue_till_june,2016_revenue_till_june,2017_revenue_till_june,2018_revenue_till_june,2019_revenue_till_june,2020_revenue_till_june,zip_codes
702,236777621-0,Jacobi Group,Male,98906,105593,120490,134680,148713,162882,182266,195198,212288,223127,73245,94710
703,205429217-6,Feil-Wiza,Male,159200,172823,185465,196202,209262,221764,238882,258772,271832,287674,141233,94038
704,380472969-X,Mertz-Predovic,Male,188616,206432,224466,235932,250683,262794,282238,301617,318070,333103,209241,94603
705,623734317-2,Streich Group,Female,80728,90485,99030,106468,117779,129694,141448,155734,171517,184832,105420,94116
706,602333102-5,Beer-Huels,Male,155920,171708,188380,198416,212689,225430,242051,252341,265895,284346,177362,94550
707,048223261-7,Nikolaus-Grady,Female,160748,179042,192516,209106,223704,239105,256717,268210,280702,290768,145062,94903
708,513879568-6,Mohr LLC,Female,151169,167953,183614,197400,210252,225427,241276,261059,274689,288552,188119,94132
709,442774666-7,Schowalter-Kohler,Female,117916,130561,145110,158559,170229,181629,201078,213936,229442,240549,93157,94607
710,253389934-8,Pfannerstill-Hintz,Male,123428,136563,146884,161456,180751,199953,215010,228155,238837,257611,136579,94606
711,458924304-0,Treutel and Sons,Female,76993,83224,91712,98740,108208,119973,130710,142817,157242,169875,92310,94024
712,414611651-1,Lowe-Beer,Female,113422,127852,139818,151614,166964,183693,198906,217137,233927,248063,120405,94960
713,034850253-2,Stanton Inc,Male,85880,91082,99088,107546,119956,131220,144254,154782,168609,179997,117653,94525
714,099414266-8,"Reynolds, Douglas and Schuppe",Male,151698,169993,183967,194765,206870,221355,237771,255265,271027,288475,180470,94028
715,843361440-1,"Heller, Nader and Wehner",Female,184121,203002,220692,237214,247530,259594,272084,288434,301544,320477,196152,94585
716,197529611-7,"Champlin, Kulas and Mertz",Female,51132,57353,64801,71529,80924,87288,97108,104431,114705,125432,67028,94558
717,328242899-5,Hagenes-Kshlerin,Male,56416,61438,70630,78546,88098,97797,104377,119011,131332,143521,74566,94954
718,644487267-7,Bins LLC,Female,153192,164078,179497,195901,206107,223359,241448,261389,273167,284596,145258,94112
719,947255238-2,Dicki-Muller,Male,135501,150339,161942,178977,193612,213433,226191,238467,251090,263320,149796,95134
720,968023661-7,Maggio-Casper,Male,82390,88576,94567,101318,116228,130030,144068,156319,172953,185110,117722,94806
721,832413718-1,Gibson-Nader,Female,65618,74273,84061,93734,102005,112484,126890,137335,147344,162309,66455,94019
722,705976701-0,"Nikolaus, Hickle and Hayes",Male,51591,60475,68975,76727,85151,91751,99793,105638,119339,130881,66178,94065
723,804864334-0,"Lakin, Hackett and Hettinger",Male,157094,172794,188539,204963,221651,238884,253867,270759,286262,299175,175989,94709
724,694798043-7,Cronin-Bailey,Female,177437,194820,209779,224954,242310,255084,271129,290379,308523,324029,176441,94506
725,154918828-3,Reinger Inc,Female,52767,59836,68554,76511,83805,93338,102024,112219,126843,139449,96629,94702
726,749289463-5,Prohaska-Wiegand,Male,135862,147369,158272,178101,194382,214087,231267,245387,259118,273516,142512,94973
727,250047489-5,Bernier-Keeling,Male,152921,169030,186583,204033,220928,235984,247921,265987,280413,292044,150830,94038
728,266959938-9,Hirthe-Wiza,Male,131903,144235,155031,167371,186430,199693,213129,223551,235417,247781,126175,94963
729,467962521-X,"Stiedemann, Williamson and Terry",Female,180252,193785,209305,227304,239665,258548,271770,290653,302046,320400,182341,94973
730,259820162-0,Satterfield LLC,Female,124109,138330,152743,170117,182263,194190,209198,228482,245855,257768,140719,94585
731,366735383-9,Flatley and Sons,Male,124812,135587,146578,159251,177185,191299,206696,220950,232115,251023,141105,94558
732,479893239-6,McGlynn LLC,Female,65785,72520,80832,86802,95343,102463,114004,128228,141362,155950,75378,94609
733,143302091-2,Kuhn LLC,Female,143008,153116,170852,187946,206384,225030,242497,260936,272540,285316,152560,94040
734,491945575-5,"Bergstrom, Nicolas and Anderson",Female,131146,145191,157632,175378,188538,205630,218271,233262,251824,264715,159838,94525
735,671942206-5,Daniel-Prosacco,Female,138020,152774,165871,177566,196188,208602,228232,240248,253377,272100,158984,95035
736,967125767-4,Pagac LLC,Female,165979,178936,196154,215598,229421,240929,253663,272604,284542,302399,198589,94306
737,711724848-3,Bernhard LLC,Female,99516,104636,118014,128673,143105,155115,168732,181848,194059,208352,59804,94035
738,158322882-9,"Lang, Moen and Kuhn",Female,194506,212229,232151,248816,266095,285064,295272,312037,324628,337017,228619,94708
739,320448843-8,Dicki and Sons,Male,94564,100577,111167,122211,132319,143133,155540,169483,181491,193324,113360,94117
740,897943150-3,Schultz and Sons,Male,56294,62747,72271,77669,86660,94908,103771,117705,130665,143291,76403,94063
741,732328725-1,Hegmann-Upton,Female,78980,88049,95631,104312,115455,127826,140092,151787,171686,189088,122081,94970
742,353272265-8,Bogisich LLC,Male,176268,188231,199347,213671,230572,241793,259694,278891,291860,302262,154752,94061
743,815055760-1,"Mraz, Conroy and Pacocha",Male,182713,202459,216824,233803,252570,265706,276658,288175,303230,321590,212698,94720
744,006390748-8,"Lowe, Miller and Sanford",Male,146219,159092,174917,186491,196557,209975,229238,240063,255246,272790,161216,94130
745,490887659-2,Lubowitz-Koelpin,Female,112249,124896,135680,149260,163986,180110,192843,205798,217948,231219,88217,94904
746,972067180-7,Schamberger-Hansen,Male,82698,87885,95089,103714,115888,128672,142464,156615,171214,190264,120070,94015
747,494806830-6,"Johnston, Kilback and Ratke",Male,71532,79390,87160,96061,101924,113345,125833,138746,151167,167687,87948,94404
748,592433189-X,Cremin-Pollich,Male,93577,101363,116043,130450,141384,155559,174737,188523,204178,223021,91329,94019
749,189805559-9,Farrell Group,Male,93541,99041,106451,121432,134842,145157,155269,166781,185850,196327,104630,94545
750,083329307-9,Stamm and Sons,Female,168955,188707,206930,221078,239104,252300,270050,285848,298078,309045,198729,94613
751,173067682-0,Mohr and Sons,Female,166618,178025,189071,201826,218025,232675,243042,254261,272400,288756,149974,94564
752,665585909-3,"Jakubowski, Rice and Murphy",Male,114538,127575,139670,153787,172327,191765,207609,222013,239486,256619,145260,94080
753,966137166-0,"Rau, Schumm and Moore",Male,150475,161358,173202,192534,211559,224516,243537,259378,275088,293390,179294,94587
754,049708458-9,"Mueller, Hansen and Haley",Female,93414,102918,115174,126138,140187,153655,173410,193140,211227,223392,110380,94304
755,650719842-0,"Grant, Mayert and Welch",Male,188888,202301,214589,230135,240743,251832,266858,277692,288918,302428,174233,94710
756,877606258-9,Kub-Bode,Male,91688,100209,113305,124892,138369,149418,160280,179771,198841,218348,89131,94947
757,787367046-5,Greenfelder-Buckridge,Male,161085,171496,191301,201467,219951,230424,246602,258129,271197,287163,170928,94606
758,637489198-8,Lynch-Durgan,Male,173006,192793,204649,223483,239396,253887,265787,285195,303938,316161,196853,94520
759,030955372-5,McGlynn-Schuppe,Female,148411,158676,176041,190070,204691,217539,233262,244153,259201,271725,164287,94087
760,418107466-8,Blanda Inc,Male,129510,143305,154800,165412,185395,202882,220891,238605,253211,269715,153652,94549
761,338858395-1,Hartmann-Pfannerstill,Female,132138,142581,153115,167907,186803,204322,222771,237919,249153,265671,152243,94709
762,454417609-3,Jast-Dicki,Female,125675,137004,151043,164495,179429,194731,208951,219093,237913,256040,111690,94536
763,094181481-5,Muller-Huel,Female,153279,169756,185362,204656,221114,233458,246167,262867,275264,294230,176449,94572
764,061435107-3,Braun Inc,Female,198370,216353,231809,251446,266426,279267,292779,308014,318045,333720,200866,94401
765,014549928-6,"Zemlak, Yundt and Schinner",Male,173252,190928,202303,222032,239360,257528,274787,288982,303162,313294,199807,94564
766,855893878-4,Pouros-Hahn,Male,77336,86786,94076,100162,110808,121319,133481,145095,159671,178762,91363,94565
767,134954794-8,Hessel and Sons,Female,78257,84945,93725,102181,116559,129099,141188,152326,170666,184490,120228,94804
768,127932106-7,"Welch, Larson and Stracke",Female,105803,118504,130569,144452,159208,174107,186098,196873,215429,231782,130256,94708
769,933592565-9,"Abbott, Dibbert and Johnston",Male,126391,137323,152184,169984,182048,195620,211744,222125,236475,247258,99817,94577
770,759417412-7,Dietrich-Wiza,Female,190536,207392,226844,238491,255086,273234,292366,312295,325277,341949,219808,94063
771,906054415-3,"Hilpert, Huels and Thompson",Female,146706,158742,172488,189792,207776,223382,236186,255391,273415,286705,146247,94545
772,696019601-9,McDermott-Predovic,Female,104550,116880,128669,142861,156986,173399,189177,202266,220611,234875,95348,94103
773,040394277-2,Crist Group,Female,58506,67667,75913,82935,89108,97310,106259,118719,133688,146424,94932,94704
774,498134839-8,Sauer Inc,Female,184099,201053,219958,233804,248744,261773,274055,288337,307345,323948,216487,94920
775,051334287-7,"Tillman, Cummings and Reichel",Female,149644,159845,173554,190317,200533,220101,238230,253286,264911,282212,164192,94085
776,335614344-1,Pagac and Sons,Male,123590,135023,147976,162629,175691,195194,213864,231584,249159,263035,131183,94805
777,564559444-4,Pfannerstill-Russel,Male,81918,91044,100754,113133,125948,136317,150043,161484,171625,187375,125061,94938
778,747818285-2,Maggio-Gorczany,Male,139377,152931,169249,185447,200292,210571,223878,234455,246445,261189,139924,94964
779,103289816-X,Collins LLC,Male,59996,67267,74611,81837,91562,99324,106705,119115,132038,142388,82737,94019
780,025693145-3,"Wisozk, Pfannerstill and Reichert",Female,109444,123705,135376,149796,161417,174409,185918,197150,208493,223012,84030,94947
781,478039976-9,"Leuschke, Hoppe and Dickens",Male,79199,85751,91865,99791,106177,117132,131954,143329,157010,174818,88682,94571
782,241094553-8,Jakubowski Inc,Female,114837,126388,139978,152479,168071,185204,201677,212013,230876,242634,105154,94518
783,541045572-X,Homenick Inc,Female,133314,143617,156802,170410,181993,201299,217109,235909,246584,264121,130282,94595
784,763927210-6,"Monahan, O'Kon and Abshire",Female,117761,132496,144154,155754,174979,189011,207652,227410,246044,257759,133609,94518
785,500619703-X,Cruickshank-Aufderhar,Male,100106,114438,125127,137978,150947,163904,175810,192861,203073,218280,81324,95134
786,763018033-0,"Graham, Barton and Braun",Female,189944,207852,226627,243572,257764,271310,288255,304261,321267,337798,222987,94303
787,092956994-6,"King, Stokes and Fritsch",Female,167524,187416,198768,213665,230900,246165,259312,274492,291193,305667,164150,94015
788,694865039-2,Johns LLC,Male,91161,96541,104394,114425,127933,138708,150983,167614,177812,191055,120478,94513
789,642981778-4,Heidenreich Inc,Female,156585,174354,189324,204021,219020,234906,253860,265467,283178,300982,171629,94528
790,687311248-8,Lubowitz-Schaden,Female,113389,128170,141181,151403,167995,179281,196296,214919,228257,247591,145401,94038
791,554100459-4,"Dare, Kemmer and Breitenberg",Female,155341,173904,193239,209107,228446,245938,261242,272516,290988,306434,157842,94901
792,849506732-3,Little Group,Female,121095,132478,144082,154974,165763,182822,200117,214172,225906,240585,95146,94610
793,626388001-5,Champlin and Sons,Female,55319,65180,74086,82425,89513,96281,102888,116484,128740,141745,97778,94965
794,013219613-1,Langosh-Rau,Male,93123,102127,115908,126975,139562,150357,166523,185363,200428,220049,94640,94804
795,611122225-2,Schuppe-Goldner,Female,133255,144184,157709,175168,193424,211699,228764,243246,262203,274166,157361,94601
796,065178188-4,Johns Inc,Female,110270,123728,134871,147187,161511,175337,186962,203316,221644,234173,108394,94005
797,148000212-7,Kovacek Inc,Male,167379,178612,191438,211210,226774,238611,249126,263302,278189,288678,186489,94010
798,417739083-6,Schroeder-Fahey,Female,125703,138668,152137,168094,183921,203562,222534,236941,248669,263079,124360,94613
799,202629719-3,Murphy-Kertzmann,Female,80080,86359,93124,100920,112659,125483,138963,149822,163255,176252,96446,94590
800,275587408-2,"Hayes, Pagac and Medhurst",Female,56841,62330,70306,79774,86933,92299,102087,115503,130395,143478,82068,94109
801,153495472-4,Schoen-Pagac,Male,136573,148698,160142,170410,189396,206934,225451,236185,247118,262351,126784,94306
802,779688393-5,Grimes Inc,Female,163658,180781,200151,214394,228197,246637,258331,274274,287902,307828,202259,94014
803,276500969-4,"Erdman, Kohler and Schmitt",Male,154166,165759,178460,195405,213292,227046,239054,254090,272889,287317,186970,94526
804,837971718-X,Weber and Sons,Female,50512,57636,67377,77336,85835,90935,99784,105805,120493,130743,63185,94044
805,728196473-0,Kilback-Schroeder,Female,79470,88221,96270,103527,116786,128966,140304,150576,163000,176708,103635,94124
806,248800532-0,Schmitt-Mitchell,Female,131215,144924,158689,175203,190206,204009,222286,234224,251540,267079,119890,94105
807,419721492-8,"Bogisich, Johnston and Parisian",Male,52264,59439,68227,76117,83762,90993,97127,105048,116995,127194,84291,94124
808,090053251-3,Stracke-Heaney,Male,88218,94303,103012,114230,126389,140087,153114,167072,184504,204150,74036,94586
809,906867518-4,"Ferry, Yost and Conn",Female,82452,88838,98060,104601,118043,132282,142325,155402,169495,188387,122603,94563
810,375691084-9,"Kling, Kulas and Daniel",Female,187709,205109,220907,240898,253012,263252,282002,294016,313742,323745,177066,94305
811,325184598-5,"Ziemann, Durgan and Hyatt",Male,112526,125563,139419,152866,166129,181933,192663,211224,227285,241534,105201,94062
812,533707586-1,Halvorson-Davis,Female,194252,212204,226189,237511,255402,269573,283176,294357,313897,327273,213765,94705
813,875450907-6,Frami-Rolfson,Male,88744,96311,106119,119048,130054,143989,158500,170234,187897,207524,65995,94702
814,040247350-7,"Marks, Waelchi and Conn",Female,151075,170908,181340,198361,217567,229097,243387,258507,272307,289679,144962,94403
815,101391416-3,"Bashirian, Ebert and Glover",Female,105689,115911,127111,138619,151299,163103,174061,188273,205177,221627,80035,94611
816,959800410-4,Moore-Rice,Male,118994,131894,144315,155979,172307,186796,201124,213203,230296,246997,138018,94586
817,128605521-0,"Wilderman, Schiller and Ledner",Male,171365,187483,198788,217394,230771,241925,254277,270279,283588,301617,176967,94904
818,511435927-4,Wilkinson and Sons,Female,99230,104431,118146,130639,141679,152524,168554,186110,196832,213408,76095,94002
819,782055276-X,"Mann, Predovic and Hamill",Female,102901,117272,132003,146998,158528,175769,193859,207581,227459,247428,142292,94301
820,806951720-4,"Hansen, Langosh and Price",Female,84590,92399,97834,104689,118657,128839,141775,154852,171015,181894,82394,94568
821,443388727-7,"Cruickshank, Boyer and Collier",Female,103739,113895,128648,140259,155086,167115,179908,194924,214188,231555,121334,94127
822,573502156-7,"Breitenberg, Bednar and Lindgren",Female,123445,137278,151247,165322,182039,201904,213430,228380,242606,256408,134405,95476
823,090030210-0,Maggio-Kulas,Male,134783,145107,156810,166988,185448,195489,211620,223761,239220,256584,154164,94528
824,719343040-8,Larkin-Barton,Female,86089,91235,96837,104389,114774,124897,137092,151784,169852,186871,124770,94035
825,204992510-7,"Paucek, Fay and Wisoky",Female,120145,134662,147801,161607,178899,192145,203908,217538,228697,238743,114254,94124
826,627789309-2,Stanton-Maggio,Male,134767,145439,158988,178135,193090,207232,219887,232596,249264,263998,122744,94946
827,385137279-4,"Hilll, Homenick and Blick",Male,108437,119604,132194,146069,158545,172456,191699,204317,219690,237114,112289,94602
828,915601748-0,Gaylord Inc,Male,96853,103081,114943,126378,138617,151913,166485,179839,191393,208300,100366,95476
829,304967495-4,"McDermott, Durgan and Wilkinson",Female,156045,168276,185714,203191,215351,231525,250940,261219,281124,295458,150185,94533
830,217360100-8,Willms LLC,Female,110076,122998,137358,151421,165026,184717,197154,214686,225161,241398,120692,94525
831,713830236-3,Graham LLC,Female,111735,126074,138642,153188,168572,181943,193519,206081,223198,233821,115157,94556
832,273707829-6,Jenkins and Sons,Male,115907,126709,138327,150269,167602,180226,197966,210549,224213,241693,111199,94960
833,119077857-2,Fritsch Group,Male,165483,183532,195724,211059,228969,247286,257346,268976,280401,290479,186235,94123
834,880594631-1,Aufderhar Inc,Male,158466,170796,181031,200224,213726,224190,235269,248889,260843,279827,171549,94111
835,011923713-X,Schamberger and Sons,Male,133576,143710,155950,167575,186423,204048,217680,235151,249106,264272,132647,94002
836,816798071-5,"Johnson, Ruecker and Hane",Male,185325,195872,211190,224715,240538,260090,278445,292717,309030,327199,211971,94514
837,489776186-7,"Lindgren, Kuphal and Sawayn",Female,53035,61562,69126,77464,86484,91946,97453,102914,115621,126675,79209,94546
838,032798204-7,"Kunze, McLaughlin and Franecki",Male,180737,194750,214607,227134,245459,260798,277935,293383,312811,331830,217306,94565
839,490256736-9,"Gaylord, Bednar and Leffler",Male,52270,60326,66645,73560,80965,86222,92117,101944,114552,128393,79063,94577
840,267619585-9,"Feest, Blick and Waelchi",Female,67075,73881,82618,87791,96119,103981,114302,126423,141242,156072,82658,95140
841,498577741-2,"Schulist, Predovic and Nolan",Female,155118,171430,190903,207813,224547,240349,257685,273064,286277,305084,182357,94010
842,440187337-8,"Bruen, Funk and Abernathy",Female,118723,129153,141257,151767,171705,186022,204842,223813,242686,259067,129758,94569
843,543873141-1,Lockman Group,Male,157522,171926,182059,193509,207578,218834,232502,248506,260829,271298,136666,95134
844,594768985-5,"Schinner, Daniel and Hammes",Female,144518,154649,172213,189329,202035,215194,231365,247675,264228,279546,136940,94506
845,580977464-4,"Pouros, Nicolas and Lakin",Male,144095,156320,175450,193146,205648,218139,237945,248331,266687,277490,158886,94132
846,737330451-6,Torphy-Eichmann,Male,151032,163660,179359,196520,211496,226815,241245,252519,270148,283751,160266,94112
847,289445659-X,Strosin-Boyer,Male,192718,206831,225639,239137,256694,270442,282803,292896,311470,325675,181825,94512
848,165583794-X,Bahringer-Kautzer,Female,159836,175831,194587,204925,224346,239441,258807,270394,289930,308022,187986,94066
849,995239173-0,Kessler-Legros,Female,172204,184612,204365,214945,226814,241068,257363,275284,285864,300087,156082,94583
850,606920416-6,Deckow Group,Female,144016,155468,169243,188124,205756,224477,234738,245521,262576,281321,138247,94526
851,668343355-0,Hermann LLC,Female,183356,193686,206655,223289,235773,253521,266058,278447,291838,308844,202609,94512
852,453013963-8,Waters Inc,Male,72095,77586,86661,96392,102092,116931,129602,141751,153074,166387,101382,95035
853,722544513-8,Keeling Inc,Female,184413,202380,215147,229844,245819,263382,274532,294179,308297,320206,183032,94128
854,393660828-8,"Tillman, Swaniawski and Bogisich",Male,67108,77012,82954,89642,97605,103419,118352,128353,140964,152086,54173,94610
855,133253260-8,"Green, Armstrong and Leuschke",Male,74132,83730,89866,98429,105184,118595,129874,142663,157219,176765,100846,94528
856,480571231-7,Gerhold-Smitham,Male,166772,181492,198727,218411,228411,239844,254906,272249,287955,305967,165073,94541
857,453564894-8,O'Keefe-Bashirian,Male,74241,80651,88328,94288,99763,109192,120244,132707,143275,154991,87804,94402
858,397440971-8,"Gibson, Harris and Jaskolski",Male,60070,69570,74980,82036,91885,97916,104753,117598,129847,143228,85073,94933
859,611079638-7,Shields-Fisher,Male,128199,138470,150806,162910,176094,190293,209700,228071,244420,262313,145255,94583
860,814211626-X,"Metz, Krajcik and Bogisich",Female,127700,138533,152683,167572,181208,200010,216611,232868,245318,258936,114607,94609
861,342598369-5,Pacocha Inc,Female,109144,119328,129423,139550,154362,166356,177231,192446,203756,214252,99215,94708
862,270543026-1,"Powlowski, Breitenberg and Becker",Male,111744,124642,138004,152202,165705,183658,198913,211045,226448,245614,135415,94801
863,373939251-7,Ebert LLC,Male,143226,156144,172558,188476,205605,223412,239530,252886,264720,282021,145386,94066
864,748472484-X,Lynch-Hills,Male,193462,208807,220693,234457,249240,263971,276943,287031,301019,316342,214168,94564
865,845948107-7,Klein-Bernier,Female,143070,154616,172787,192309,203402,218723,237962,255880,271302,282604,156326,94555
866,925226073-0,"Hackett, Crona and Mante",Male,151579,167422,181591,191910,206281,226213,245724,263079,281992,299355,178335,94066
867,432388810-4,"Heller, Stamm and Daniel",Male,60849,69034,76973,86236,94060,103943,116376,130869,143023,156803,67787,94085
868,776027015-1,Kohler-Abshire,Female,158309,172351,187190,201687,216321,235579,247570,263054,281253,300183,175830,94062
869,831280461-7,"Kreiger, Schimmel and Hirthe",Male,94473,102343,116883,131574,141976,152497,168987,185685,201328,213261,110998,94015
870,708264032-3,Bode Inc,Female,141097,155909,173095,192136,209256,222468,241126,259583,277224,292808,189978,94707
871,146918779-5,Ledner Group,Female,76206,85849,93072,100961,115458,128892,141373,152026,168282,180351,119833,94702
872,261943687-7,Morissette Inc,Male,114005,124971,138305,149706,163399,178465,191852,210577,227354,246626,129001,94128
873,091420377-0,Romaguera and Sons,Female,132044,145972,156030,166812,177947,191448,205482,217895,236514,253849,120199,94089
874,620004145-8,Pacocha-Kilback,Female,182170,200019,219292,230607,245064,259809,277004,292376,309096,325955,189821,94563
875,791937050-7,Keeling Group,Male,110053,123511,137940,151788,168541,185175,199078,219065,237353,250026,101495,94025
876,425041741-7,Sauer-Nader,Male,94053,100075,113030,126880,138952,150976,170817,188570,206158,222068,81275,95134
877,258929122-1,Orn LLC,Male,187891,199275,219132,237080,250613,269327,279833,296551,310244,329742,195604,95035
878,357374780-9,Frami-Tillman,Female,76120,81550,87220,93865,99890,105599,118171,132203,146519,157193,65815,94002
879,934438859-8,Schaefer-Lowe,Male,52445,60108,67989,75559,82722,89700,97452,105785,117779,128992,67582,94546
880,619888651-4,Hayes-Casper,Female,130646,143780,157611,169153,182792,194902,211086,229675,247173,257523,149226,94607
881,854854889-4,Lockman Group,Female,126374,140215,150641,164028,183314,194584,211869,229058,240774,258793,109175,94708
882,031014489-2,Auer Group,Male,170846,186272,203403,218427,230764,242588,261200,275185,291409,310407,198429,94115
883,268305200-6,"Wilkinson, Carroll and Rogahn",Female,176074,187895,202919,216508,229175,248505,263629,279832,292716,311464,194813,94131
884,173750818-4,Koepp-Little,Female,85469,91726,98412,105343,116772,129363,140951,153632,171367,187888,94850,94525
885,267943171-5,Klein-Kunde,Female,81650,87797,92868,101426,112096,124261,134761,147439,160206,175900,99118,94517
886,349710758-1,"Turcotte, Leffler and Jerde",Male,171341,181647,196840,211516,224928,237977,251189,270584,285075,303525,190296,94933
887,546136683-X,"Dickinson, Satterfield and Kuhlman",Female,111809,125849,138118,148922,162014,176005,186102,205876,216906,228925,110034,94578
888,127802711-4,Carter-O'Reilly,Male,84142,89922,97665,105228,117402,129670,141642,154103,171845,189418,104445,94513
889,799165745-0,Stark Inc,Female,58717,65313,74820,80508,87924,95055,101454,114855,125469,138229,87842,94112
890,542264966-4,"Paucek, Bartell and Witting",Male,107369,120561,133712,146159,160636,170710,185615,200421,216054,234176,121364,94087
891,260937915-3,Olson and Sons,Female,61973,71062,80787,86928,92944,98611,105242,116283,127848,138247,79656,94402
892,346210069-6,Runolfsdottir Group,Male,93396,100021,111560,121770,131845,145275,156351,171042,190421,208638,95195,94705
893,605236210-3,Reichert LLC,Male,120762,133640,147574,160155,175633,187206,199973,215298,226736,239889,122628,94591
894,529634993-8,Raynor-Sporer,Female,125139,140058,154327,171966,189716,204720,217668,233326,251137,262368,112702,94973
895,778021511-3,Schuppe-Schinner,Male,87409,96824,105367,118591,130650,142129,152905,168857,188656,198913,116101,94553
896,246961356-6,Pacocha-Pollich,Female,120985,134845,145340,156497,172026,187739,202181,221766,236289,254053,150469,94579
897,841302739-X,Gleason Group,Male,150189,164423,178900,189492,207683,219893,231961,243518,260516,278529,161348,94510
898,308553620-5,O'Connell-Hodkiewicz,Female,132007,144396,156272,169872,188253,200186,216141,232997,248501,260464,117650,94805
899,161902418-7,Littel LLC,Male,112341,125438,136489,150500,169697,184835,198634,215490,228889,241776,129056,94129
900,826037457-9,Grant Inc,Female,54409,62210,70290,76807,85400,94501,101274,112124,122252,136766,69491,94703
901,190517515-9,Mertz and Sons,Female,103353,118004,131179,142272,156507,175441,191262,208132,221897,236547,128567,94027
902,498935390-0,"Orn, Kulas and Steuber",Male,118736,130659,142345,155641,171795,191176,210820,228068,239828,257733,121147,94702
903,470515329-4,"Rippin, Rowe and Mertz",Female,58401,63411,68594,77561,86906,93120,99652,109358,120385,132573,90385,94533
904,942161255-8,McDermott Group,Female,151013,170462,190368,208800,225812,237438,248388,260234,277002,288033,170633,94512
905,530133194-9,Muller-Terry,Male,131555,144661,155551,170432,188598,203481,215838,227551,243009,256152,152567,94535
906,290831711-7,Boyer-Leuschke,Male,148626,161212,178867,195350,211858,228887,245923,258338,277550,289028,181194,94720
907,400729316-3,Pfeffer Inc,Female,174836,186857,200773,214956,234360,245090,263405,282937,295601,309215,196036,94509
908,360308622-8,Mann Group,Female,53573,61535,68798,74721,82856,92087,99606,109409,123689,138268,79723,94566
909,716635091-1,Wunsch-Hane,Female,126969,141618,152981,166271,176638,189300,209134,224145,236564,249449,127843,94610
910,232344053-5,Stamm Group,Male,171746,185620,204755,222938,240924,256597,267876,284899,300412,315698,174281,94583
911,874303835-2,Satterfield-Franecki,Female,198472,210184,227477,244824,262992,276936,293098,309957,321547,333362,223942,94553
912,971719612-5,Lesch-Wuckert,Male,126444,137837,149333,164227,177640,194693,206337,221837,235596,245821,140605,94030
913,404474985-X,Nolan-Rodriguez,Male,137694,150865,163629,174192,187817,206227,217670,228520,239660,250295,135391,94571
914,228520955-X,Leannon Inc,Male,74524,83686,90932,98210,108179,122884,133046,143444,156103,168923,93138,94941
915,670958728-2,"Ullrich, MacGyver and Heaney",Female,123530,137268,149490,161757,181541,194223,212850,230253,243781,262914,159108,94043
916,504192274-8,"Stamm, Zieme and Dach",Male,192907,203820,220953,231231,249521,259765,270486,285494,304683,319658,202973,94612
917,457370765-4,Tremblay-Orn,Male,162045,175993,191535,210909,223817,239681,253233,270604,283167,298159,153754,94559
918,475673035-3,Lemke-Greenfelder,Male,159681,173765,190260,202678,215190,227753,243840,258563,270544,280996,163747,94044
919,027714324-1,Thiel-Johns,Male,158058,168106,181986,200869,220665,231920,251803,263548,278510,292301,150119,94954
920,809537478-4,"Shanahan, Satterfield and Donnelly",Male,198791,215820,231625,243516,254120,267126,280897,299542,317288,328375,199224,94086
921,259641829-0,"Barrows, Gottlieb and Morissette",Male,64267,71359,80730,90729,98127,104956,116584,128977,140489,154702,58205,94118
922,776654300-1,"Windler, Christiansen and Prosacco",Male,137580,149500,161522,180125,190578,201573,218487,238362,256406,276298,152765,94530
923,559211400-1,Fisher and Sons,Male,118922,130486,140964,152413,165948,183020,196741,210295,228631,238701,118561,94612
924,234927504-3,Gulgowski LLC,Female,103626,113642,125686,138591,151423,170863,188014,205898,225562,241841,113212,94122
925,100261266-7,Gibson LLC,Female,180618,200070,211690,223149,240574,252285,265315,279017,290610,308713,174445,94043
926,231304457-2,Hammes LLC,Female,78198,83329,91704,101567,112127,123366,134572,146244,160472,173454,104321,94702
927,233065399-9,"Gerhold, Marks and Reynolds",Female,167603,184369,198570,217765,234126,247915,257986,272045,286483,297895,160101,94709
928,105334479-1,Klocko Group,Female,102507,114303,125905,137011,151603,170832,184284,198714,209253,222105,97511,94973
929,829470116-5,Blick-Konopelski,Male,113888,124833,138517,151233,162580,179943,197241,209045,221234,237209,104548,94606
930,288846518-3,Donnelly-Batz,Female,60500,66921,76292,85520,92108,101681,116289,129666,142408,154863,64868,94014
931,251195434-6,"Littel, Borer and Barton",Female,144797,158639,174446,189335,205315,222454,234231,248078,264663,282932,151641,94613
932,546674185-X,"Watsica, Runte and Gleason",Female,51212,56218,63970,73381,82359,89437,97958,106209,119257,133252,63542,94519
933,866172681-6,"McDermott, Wisoky and Kertzmann",Male,131998,143122,153127,164719,183443,198576,215221,231374,246878,258146,146761,94702
934,069843829-9,Herzog LLC,Female,54884,63435,73041,82777,87851,95309,103088,116767,127000,137216,85487,94044
935,244776859-1,Gusikowski-Hayes,Male,144158,154537,171080,182121,192588,204558,217980,228990,241691,253504,137779,94503
936,678628659-3,Berge-Bosco,Male,191057,207854,225973,240061,254185,269530,280441,293549,306805,319156,180427,94502
937,239111458-3,"Hayes, Dickinson and Corwin",Female,160765,171755,189936,202538,214019,233074,249610,260001,278085,295758,169321,94128
